f,S_ML
774,8177.815679
776,8587.519282
778,5626.172311
780,6610.16724
782,7686.776393
784,3642.933287
786,9006.877027
788,8428.494035
790,5725.918935
792,5307.589479
794,4812.294435
796,6535.440282
798,4092.830182
800,8579.115346
802,6653.947951
804,5858.178262
806,6980.779293
808,5813.185811
810,10356.50743
812,11694.69303
814,9728.764788
816,5821.955222
818,5161.936949
820,3710.713125
822,4808.867577
824,5967.134079
826,7077.364916
828,6968.004671
830,6347.101919
832,5536.446144
834,4620.6149
836,8588.433392
838,4362.545829
840,4553.182641
842,3777.481441
844,4537.939079
846,5210.319081
848,7220.751135
850,5729.280529
852,4396.260331
854,3037.946743
856,5201.121169
858,6370.961813
860,7828.218459
862,10046.92512
864,30778.93395
866,15344.09079
868,6825.525233
870,6676.240242
872,3918.2
874,2758.728557
876,3103.673515
878,4520.006823
880,4372.43125
882,5164.891992
884,5990.355979
886,5613.578654
888,4107.62744
890,6374.888201
892,6732.066298
894,4963.201373
896,5321.686597
898,5892.871213
900,4476.587195
902,5236.783682
904,4246.086505
906,5361.788006
908,3710.734202
910,3382.954693
912,3549.278924
914,6842.154201
916,7729.845162
918,5354.027875
920,2960.90255
922,3293.919258
924,4236.519471
926,4740.781603
928,5792.120496
930,8280.908818
932,6641.28752
934,5244.115147
936,5323.802646
938,4900.383608
940,3266.33773
942,3626.31676
944,5342.994516
946,3338.042372
948,4712.875361
950,5579.420409
952,4835.896995
954,4857.283744
956,5554.055665
958,3603.951124
960,5184.710808
962,5195.231741
964,5097.743803
966,3708.556417
968,3552.625491
970,4555.93829
972,3205.75657
974,4553.685901
976,4619.137103
978,3914.200416
980,5637.969417
982,4274.459799
984,3620.527459
986,4256.921247
988,4907.752344
990,5716.691242
992,5514.757164
994,4793.530505
996,4622.715025
998,3678.02028
1000,4742.63201
1000,4992.221866
1020,3822.100021
1040,3202.745578
1060,3468.689344
1080,3750.272686
1100,3436.57394
1120,3785.862511
1140,3047.473777
1160,3377.230836
1180,3085.781169
1200,3292.693235
1220,3199.844948
1240,3547.855205
