f,S_rock
90.4,51390.52872
90.6,4345.899941
90.8,5949.809459
91,4846.633621
91.2,6870.336164
91.4,3377.254314
91.6,5496.72151
91.8,4510.3611
92,5759.582762
92.2,3238.688117
92.4,3378.683492
92.6,6413.370656
92.8,6394.028913
93,4758.820677
93.2,7661.486195
93.4,3092.070164
93.6,6245.812027
93.8,8491.08251
94,4259.587448
94.2,3859.240292
94.4,3464.726568
94.6,2410.941295
94.8,4200.994984
95,6998.252719
95.2,5460.772669
95.4,4359.885494
95.6,5793.465367
95.8,5003.797302
96,4488.601091
96.2,3110.975562
96.4,6488.770504
96.6,6634.363794
96.8,5944.029595
97,4359.590215
97.2,6546.807897
97.4,6024.860364
97.6,1110.887633
97.8,3354.126028
98,2233.608454
98.2,5219.433077
98.4,4337.684757
98.6,1507.689843
98.8,3297.626376
99,7781.155998
99.2,7917.566574
99.4,3827.764252
99.6,4082.442341
99.8,2682.613464
100,2556.371138
100,4101.141196
102,4961.747251
104,5040.622429
106,2741.448336
108,4257.014809
110,3887.935143
112,4587.698465
114,7489.224909
116,7608.6146
118,4915.299224
120,6408.902774
122,4930.176137
124,5337.246348
126,6331.760158
128,7045.39143
130,6376.107461
132,7234.580804
134,5306.961648
136,5090.22118
138,5044.371644
140,5486.557039
142,7522.664635
144,5366.074237
146,5704.651895
148,4374.39338
150,4799.962546
152,5817.884778
154,6876.900597
156,4771.60568
158,5325.684564
160,5260.637165
162,4983.640894
164,4693.958683
166,3313.29589
168,4266.48959
170,4949.4032
172,4669.496059
174,5404.133087
176,4802.188688
178,3900.923567
180,3218.205763
182,4624.162385
184,5468.785898
186,7170.196531
188,4105.48414
190,3309.960135
192,3828.620071
194,4875.419883
196,3300.466881
198,3636.734153
200,4525.351922
202,4876.53909
204,4158.049551
206,4620.0877
208,5423.515179
210,6646.63363
212,6730.766537
214,6400.989798
216,5497.55087
218,3523.673709
220,4321.02712
222,4977.703655
224,5579.990201
226,4919.411567
228,3619.867415
230,5571.513704
232,4311.46712
234,3430.245062
236,2043.505134
238,3062.462474
240,3804.959775
242,3711.262727
244,3129.669486
246,2800.890819
248,4866.000404
250,4957.634567
252,5785.37171
254,5230.80437
256,3284.722198
258,3882.32076
260,4323.391519
262,5425.002605
264,5139.50786
266,4882.315086
268,2800.539312
270,4288.623658
272,5697.952163
274,4155.92021
276,4723.291666
278,2920.442219
280,3220.398041
282,4587.333529
284,4419.062698
286,5043.304923
288,4482.071659
290,3313.766873
292,3119.433281
294,2403.870984
296,3225.553211
298,4110.407143
300,4581.841334
302,3444.897009
304,2728.731228
306,3664.390701
308,2476.72204
310,2813.094999
312,4482.490765
314,3656.720313
316,6663.937383
318,6243.996988
320,3600.252964
322,3920.007968
