f (Hz),PNA floor (dBc/Hz),VCO free (dBc/Hz),VCO locked (dBc/Hz)
5.10E+02,-1.13E+02,-68.0380639,-112.080735
5.12E+02,-1.13E+02,-67.9887681,-112.537037
5.15E+02,-1.12E+02,-68.3266412,-112.029666
5.17E+02,-1.13E+02,-69.0077295,-113.601586
5.20E+02,-1.12E+02,-68.8096894,-114.30618
5.22E+02,-1.12E+02,-68.5152154,-114.833342
5.25E+02,-1.11E+02,-69.2182824,-115.060308
5.27E+02,-1.11E+02,-69.7349816,-114.35175
5.30E+02,-1.11E+02,-69.6118905,-113.674119
5.32E+02,-1.11E+02,-69.7174676,-113.938346
5.35E+02,-1.11E+02,-69.450438,-113.511497
5.38E+02,-1.12E+02,-69.2778397,-112.992592
5.40E+02,-1.12E+02,-69.001783,-113.517425
5.43E+02,-1.11E+02,-69.3904922,-112.973974
5.46E+02,-1.11E+02,-69.65989,-112.925739
5.48E+02,-1.11E+02,-70.9321686,-112.295111
5.51E+02,-1.11E+02,-70.976532,-112.226983
5.54E+02,-1.12E+02,-70.0692772,-111.843198
5.56E+02,-1.12E+02,-70.1690559,-112.537293
5.59E+02,-1.12E+02,-70.7478668,-112.139607
5.62E+02,-1.12E+02,-70.903788,-111.416765
5.64E+02,-1.11E+02,-71.100351,-111.278457
5.67E+02,-1.11E+02,-70.8458764,-110.962396
5.70E+02,-1.11E+02,-69.987201,-110.286483
5.73E+02,-1.12E+02,-70.2785645,-109.56413
5.75E+02,-1.12E+02,-69.5245331,-109.913417
5.78E+02,-1.12E+02,-68.5814819,-109.975739
5.81E+02,-1.11E+02,-68.974485,-109.73015
5.84E+02,-1.12E+02,-68.9683915,-109.440361
5.87E+02,-1.12E+02,-68.2273308,-109.31766
5.90E+02,-1.11E+02,-67.2897152,-110.135354
5.92E+02,-1.11E+02,-67.7209713,-110.84424
5.95E+02,-1.11E+02,-67.9994068,-111.065466
5.98E+02,-1.11E+02,-68.4339108,-111.622246
6.01E+02,-1.11E+02,-68.3590855,-112.010648
6.04E+02,-1.11E+02,-68.5217114,-111.18348
6.07E+02,-1.11E+02,-68.6902737,-110.982904
6.10E+02,-1.11E+02,-68.9876034,-111.022516
6.13E+02,-1.10E+02,-70.1879734,-111.451512
6.16E+02,-1.11E+02,-70.4743137,-111.524569
6.19E+02,-1.11E+02,-71.382447,-110.848491
6.22E+02,-1.12E+02,-71.547496,-110.783304
6.25E+02,-1.12E+02,-72.0801162,-111.218201
6.28E+02,-1.12E+02,-71.7592727,-111.046758
6.31E+02,-1.12E+02,-72.0645912,-110.599699
6.34E+02,-1.11E+02,-71.6061271,-111.154102
6.37E+02,-1.11E+02,-71.9891151,-110.742368
6.40E+02,-1.11E+02,-72.1031158,-111.135738
6.43E+02,-1.12E+02,-70.7200813,-110.733054
6.46E+02,-1.11E+02,-70.5587784,-111.116909
6.50E+02,-1.12E+02,-71.2777283,-111.749522
